,gid,pa,ep,fp,yp,nb,year,cctv,light
5,木夭丑友什58ab30ba,8.15,6.0,7.0,0.0,2.0,0,0,0
17,木夭丑友什58bb30ab,7.768,0.0,0.0,0.0,2.0,0,0,0
26,木夭丑友什59aa30aa,7.768,0.0,0.0,0.0,2.0,0,0,0
27,木夭丑友什59aa30ab,7.768,0.0,0.0,0.0,3.0,0,0,0
42,木夭丑友什59ab30aa,6.89,0.0,0.0,0.0,3.0,0,1,1
43,木夭丑友什59ab30ab,6.89,0.0,0.0,0.0,2.0,0,0,0
66,木夭丑友什59ba30aa,6.339,0.0,0.0,0.0,14.0,1,0,0
69,木夭丑友什59ba30bb,4.878,36.0,27.0,0.0,8.0,1,0,0
71,木夭丑友什59ba31ab,4.285,0.0,6.0,0.0,5.0,0,0,0
93,木夭丑友什59bb29bb,6.541,0.0,0.0,0.0,4.0,1,0,0
96,木夭丑友什59bb30ba,5.025,9.0,18.0,6.0,11.0,0,0,0
97,木夭丑友什59bb30bb,4.164,7.0,7.0,0.0,4.0,1,0,0
98,木夭丑友什59bb31aa,3.953,0.0,8.0,0.0,14.0,1,0,0
99,木夭丑友什59bb31ab,4.028,0.0,8.0,0.0,14.0,0,0,0
100,木夭丑友什59bb31ba,4.028,0.0,0.0,0.0,4.0,0,0,0
105,木夭丑友什59bb32bb,2.968,0.0,0.0,0.0,4.0,0,0,0
122,木夭丑友什60aa29ba,7.025,0.0,0.0,0.0,4.0,0,0,0
123,木夭丑友什60aa29bb,6.339,8.0,7.0,0.0,25.0,1,0,0
124,木夭丑友什60aa30aa,6.339,0.0,0.0,0.0,8.0,1,0,0
125,木夭丑友什60aa30ab,5.025,0.0,0.0,0.0,2.0,0,0,0
131,木夭丑友什60aa31bb,3.708,0.0,0.0,0.0,1.0,0,0,0
134,木夭丑友什60aa32ba,2.781,0.0,0.0,0.0,1.0,1,0,0
135,木夭丑友什60aa32bb,2.968,0.0,0.0,0.0,1.0,0,1,1
154,木夭丑友什60ab29ba,5.571,7.0,13.0,0.0,11.0,1,0,0
155,木夭丑友什60ab29bb,5.954,0.0,0.0,0.0,4.0,1,0,0
167,木夭丑友什60ab32bb,2.885,0.0,0.0,0.0,14.0,0,0,0
185,木夭丑友什60ba29ab,5.571,0.0,0.0,0.0,1.0,0,0,0
198,木夭丑友什60ba32ba,5.564,21.0,55.0,0.0,14.0,1,0,0
199,木夭丑友什60ba32bb,2.144,0.0,9.0,0.0,3.0,0,0,0
216,木夭丑友什60bb29aa,5.275,0.0,0.0,0.0,4.0,0,1,1
217,木夭丑友什60bb29ab,4.753,27.0,66.0,9.0,20.0,1,1,1
229,木夭丑友什60bb32ab,5.564,0.0,0.0,0.0,3.0,1,0,0
230,木夭丑友什60bb32ba,5.564,93.0,253.0,51.0,54.0,1,0,0
231,木夭丑友什60bb32bb,9.795,12.0,113.0,34.0,16.0,1,0,0
248,木夭丑友什61aa29aa,5.275,0.0,0.0,0.0,3.0,0,0,0
249,木夭丑友什61aa29ab,4.753,0.0,21.0,10.0,7.0,1,0,0
255,木夭丑友什61aa30bb,4.32,0.0,0.0,0.0,3.0,0,0,0
261,木夭丑友什61aa32ab,1.505,0.0,0.0,0.0,2.0,0,0,0
262,木夭丑友什61aa32ba,1.505,65.0,223.0,40.0,41.0,1,1,1
263,木夭丑友什61aa32bb,1.505,28.0,109.0,23.0,22.0,1,0,0
293,木夭丑友什61ab32ab,1.505,36.0,291.0,86.0,1.0,1,1,1
294,木夭丑友什61ab32ba,1.505,14.0,67.0,15.0,43.0,1,1,1
295,木夭丑友什61ab32bb,1.505,45.0,168.0,45.0,9.0,1,1,1
313,木夭丑友什61ba29aa,4.173,0.0,0.0,0.0,3.0,0,0,0
326,木夭丑友什61ba32ab,1.505,9.0,86.0,26.0,35.0,1,1,1
327,木夭丑友什61ba32ba,1.876,28.0,115.0,37.0,53.0,1,1,1
328,木夭丑友什61ba32bb,1.876,25.0,110.0,29.0,5.0,1,1,1
342,木夭丑友什61ba36ab,5.342,10.0,17.0,0.0,10.0,0,0,0
357,木夭丑友什61bb31bb,1.394,21.0,79.0,14.0,1.0,1,0,0
359,木夭丑友什61bb32ab,7.653,30.0,193.0,85.0,28.0,1,1,1
360,木夭丑友什61bb32ba,1.876,71.0,309.0,106.0,62.0,1,1,1
361,木夭丑友什61bb32bb,1.876,37.0,99.0,26.0,5.0,1,0,0
375,木夭丑友什61bb36ab,4.44,49.0,76.0,0.0,31.0,1,0,0
376,木夭丑友什61bb36ba,4.44,27.0,63.0,0.0,32.0,1,0,0
390,木夭丑友什62aa31ba,1.394,37.0,100.0,17.0,2.0,1,1,1
391,木夭丑友什62aa31bb,1.394,343.0,982.0,225.0,14.0,1,0,0
392,木夭丑友什62aa32aa,1.038,227.0,898.0,277.0,8.0,1,1,1
393,木夭丑友什62aa32ab,0.525,187.0,739.0,185.0,20.0,1,1,1
394,木夭丑友什62aa32ba,1.876,117.0,527.0,169.0,15.0,1,1,1
395,木夭丑友什62aa32bb,18.176,75.0,520.0,186.0,19.0,1,1,1
399,木夭丑友什62aa33bb,3.182,0.0,0.0,0.0,2.0,0,0,0
401,木夭丑友什62aa34ab,5.378,0.0,0.0,0.0,11.0,1,0,0
409,木夭丑友什62aa36ab,4.44,14.0,35.0,0.0,17.0,1,1,1
410,木夭丑友什62aa36ba,4.44,22.0,43.0,0.0,23.0,1,1,1
411,木夭丑友什62aa36bb,4.133,6.0,12.0,0.0,23.0,1,1,1
412,木夭丑友什62aa37aa,4.248,17.0,32.0,7.0,12.0,1,0,0
418,木夭丑友什62ab28ab,4.628,6.0,7.0,0.0,2.0,0,0,0
426,木夭丑友什62ab30ab,3.082,0.0,10.0,0.0,8.0,1,0,0
427,木夭丑友什62ab30ba,3.055,7.0,12.0,0.0,9.0,1,0,0
431,木夭丑友什62ab31ba,1.394,94.0,229.0,47.0,16.0,1,0,0
432,木夭丑友什62ab31bb,0.892,105.0,254.0,64.0,3.0,1,1,1
433,木夭丑友什62ab32aa,0.892,122.0,529.0,152.0,7.0,1,1,1
434,木夭丑友什62ab32ab,0.892,159.0,666.0,210.0,24.0,1,1,1
435,木夭丑友什62ab32ba,0.525,144.0,678.0,204.0,29.0,1,1,1
436,木夭丑友什62ab32bb,18.176,80.0,368.0,80.0,9.0,1,1,1
440,木夭丑友什62ab33bb,3.182,0.0,0.0,0.0,1.0,1,0,0
442,木夭丑友什62ab34ab,5.22,0.0,0.0,0.0,10.0,0,0,0
447,木夭丑友什62ab35ba,4.883,0.0,0.0,0.0,14.0,1,0,0
448,木夭丑友什62ab35bb,4.883,0.0,0.0,0.0,1.0,0,0,0
450,木夭丑友什62ab36ab,6.677,0.0,0.0,0.0,3.0,1,0,0
452,木夭丑友什62ab36bb,4.133,0.0,0.0,0.0,6.0,0,0,0
453,木夭丑友什62ab37aa,4.248,19.0,31.0,0.0,18.0,0,0,0
460,木夭丑友什62ba28ab,5.45,0.0,0.0,0.0,4.0,0,0,0
468,木夭丑友什62ba30ab,2.949,0.0,0.0,0.0,1.0,1,0,0
469,木夭丑友什62ba30ba,3.055,14.0,17.0,0.0,11.0,1,0,0
470,木夭丑友什62ba30bb,3.055,0.0,11.0,0.0,12.0,1,0,0
471,木夭丑友什62ba31aa,3.055,10.0,15.0,0.0,9.0,1,0,0
476,木夭丑友什62ba32ab,0.892,32.0,202.0,89.0,21.0,1,1,1
477,木夭丑友什62ba32ba,0.525,81.0,263.0,49.0,75.0,1,1,1
478,木夭丑友什62ba32bb,18.176,101.0,290.0,49.0,64.0,1,1,1
479,木夭丑友什62ba33aa,18.176,26.0,61.0,12.0,5.0,1,1,1
485,木夭丑友什62ba34ba,5.22,0.0,0.0,0.0,2.0,1,0,0
488,木夭丑友什62ba35ab,4.883,14.0,39.0,0.0,17.0,1,0,0
489,木夭丑友什62ba35ba,4.883,16.0,21.0,0.0,20.0,0,1,1
490,木夭丑友什62ba35bb,4.883,0.0,0.0,0.0,3.0,1,0,0
501,木夭丑友什62bb28aa,2.882,8.0,14.0,0.0,12.0,0,0,0
502,木夭丑友什62bb28ab,2.799,0.0,0.0,0.0,3.0,0,0,0
504,木夭丑友什62bb28bb,3.272,0.0,7.0,0.0,8.0,1,1,1
505,木夭丑友什62bb29aa,3.272,8.0,12.0,0.0,5.0,1,0,0
515,木夭丑友什62bb31ba,3.518,0.0,7.0,0.0,3.0,1,0,0
517,木夭丑友什62bb32aa,1.181,0.0,0.0,0.0,4.0,1,1,1
518,木夭丑友什62bb32ab,1.181,34.0,203.0,50.0,76.0,1,1,1
519,木夭丑友什62bb32ba,0.294,40.0,175.0,41.0,72.0,1,1,1
520,木夭丑友什62bb32bb,0.53,16.0,59.0,8.0,34.0,1,1,1
521,木夭丑友什62bb33aa,5.4,8.0,19.0,0.0,18.0,1,0,0
525,木夭丑友什62bb34aa,4.079,0.0,0.0,0.0,5.0,1,0,0
526,木夭丑友什62bb34ab,4.079,0.0,0.0,0.0,2.0,1,0,0
530,木夭丑友什62bb35ab,4.883,8.0,21.0,0.0,12.0,1,1,1
531,木夭丑友什62bb35ba,4.883,0.0,6.0,0.0,6.0,1,0,0
536,木夭丑友什62bb36bb,3.315,0.0,0.0,0.0,1.0,0,0,0
542,木夭丑友什63aa28aa,2.882,0.0,0.0,0.0,1.0,0,0,0
543,木夭丑友什63aa28ab,2.799,0.0,6.0,0.0,2.0,1,0,0
544,木夭丑友什63aa28ba,3.083,0.0,8.0,0.0,1.0,0,0,0
545,木夭丑友什63aa28bb,3.083,0.0,0.0,0.0,1.0,0,0,0
558,木夭丑友什63aa32aa,1.181,8.0,33.0,0.0,19.0,1,1,1
559,木夭丑友什63aa32ab,1.181,54.0,219.0,74.0,74.0,1,1,1
560,木夭丑友什63aa32ba,0.477,23.0,101.0,19.0,66.0,1,1,1
561,木夭丑友什63aa32bb,0.53,13.0,41.0,13.0,29.0,1,0,0
566,木夭丑友什63aa34aa,4.079,0.0,0.0,0.0,34.0,0,1,1
579,木夭丑友什63aa37ab,1.724,31.0,62.0,9.0,29.0,1,0,0
586,木夭丑友什63ab28ab,2.799,0.0,7.0,0.0,6.0,0,0,0
599,木夭丑友什63ab31ba,3.518,0.0,9.0,0.0,14.0,1,0,0
600,木夭丑友什63ab31bb,1.181,35.0,76.0,20.0,13.0,1,0,0
601,木夭丑友什63ab32aa,1.181,153.0,962.0,322.0,15.0,1,1,1
602,木夭丑友什63ab32ab,1.181,109.0,516.0,126.0,32.0,1,1,1
603,木夭丑友什63ab32ba,0.477,101.0,406.0,88.0,27.0,1,1,1
610,木夭丑友什63ab34ab,3.423,0.0,0.0,0.0,14.0,1,0,0
611,木夭丑友什63ab34ba,3.423,0.0,0.0,0.0,38.0,0,0,0
612,木夭丑友什63ab34bb,4.105,0.0,0.0,0.0,3.0,0,1,1
622,木夭丑友什63ab37ab,1.724,11.0,33.0,0.0,14.0,0,1,1
635,木夭丑友什63ba29ba,4.808,0.0,0.0,0.0,8.0,1,0,0
643,木夭丑友什63ba31ba,2.162,10.0,19.0,6.0,13.0,1,0,0
644,木夭丑友什63ba31bb,3.025,0.0,0.0,0.0,3.0,1,1,1
645,木夭丑友什63ba32aa,1.59,256.0,1353.0,462.0,21.0,1,0,0
646,木夭丑友什63ba32ab,1.337,0.0,34.0,0.0,40.0,1,1,1
647,木夭丑友什63ba32ba,1.337,33.0,121.0,19.0,32.0,1,1,1
652,木夭丑友什63ba33bb,2.508,21.0,58.0,11.0,3.0,1,0,0
654,木夭丑友什63ba34ab,3.423,0.0,0.0,0.0,16.0,1,0,0
655,木夭丑友什63ba34ba,3.423,0.0,0.0,0.0,7.0,0,0,0
665,木夭丑友什63ba37aa,1.724,0.0,6.0,0.0,8.0,0,0,0
666,木夭丑友什63ba37ab,1.724,0.0,0.0,0.0,2.0,0,0,0
676,木夭丑友什63bb27bb,2.821,0.0,0.0,0.0,1.0,0,0,0
682,木夭丑友什63bb29ab,3.5,0.0,0.0,0.0,8.0,1,0,0
683,木夭丑友什63bb29ba,4.27,0.0,0.0,0.0,8.0,1,0,0
685,木夭丑友什63bb30aa,4.021,68.0,107.0,10.0,13.0,0,1,1
686,木夭丑友什63bb30ab,4.021,37.0,59.0,0.0,12.0,0,0,0
691,木夭丑友什63bb31ba,2.162,7.0,11.0,0.0,11.0,1,0,0
693,木夭丑友什63bb32aa,1.074,192.0,993.0,416.0,23.0,1,1,1
694,木夭丑友什63bb32ab,1.337,0.0,0.0,0.0,78.0,1,1,1
697,木夭丑友什63bb33aa,2.291,0.0,0.0,0.0,2.0,1,0,0
698,木夭丑友什63bb33ab,2.291,128.0,292.0,73.0,31.0,1,1,1
699,木夭丑友什63bb33ba,2.291,115.0,238.0,60.0,19.0,1,1,1
700,木夭丑友什63bb33bb,3.781,57.0,184.0,46.0,33.0,1,1,1
703,木夭丑友什63bb34ba,3.423,10.0,14.0,0.0,11.0,1,0,0
711,木夭丑友什63bb36ba,1.452,0.0,0.0,0.0,1.0,0,0,0
730,木夭丑友什64aa28bb,2.389,15.0,12.0,0.0,1.0,1,0,0
732,木夭丑友什64aa29ab,3.5,0.0,12.0,0.0,19.0,1,0,0
733,木夭丑友什64aa29ba,4.27,0.0,7.0,0.0,11.0,1,0,0
735,木夭丑友什64aa30aa,4.021,23.0,67.0,8.0,13.0,0,1,1
736,木夭丑友什64aa30ab,4.021,17.0,34.0,0.0,8.0,0,0,0
740,木夭丑友什64aa31ab,3.272,0.0,0.0,0.0,4.0,1,0,0
741,木夭丑友什64aa31ba,2.962,0.0,0.0,0.0,7.0,1,0,0
743,木夭丑友什64aa32aa,2.157,49.0,615.0,352.0,5.0,1,1,1
744,木夭丑友什64aa32ab,2.306,132.0,846.0,350.0,35.0,1,1,1
746,木夭丑友什64aa32bb,2.849,32.0,106.0,33.0,5.0,1,0,0
747,木夭丑友什64aa33aa,2.291,117.0,371.0,104.0,5.0,1,0,0
748,木夭丑友什64aa33ab,2.291,187.0,692.0,252.0,28.0,1,1,1
749,木夭丑友什64aa33ba,6.734,55.0,211.0,54.0,40.0,1,1,1
750,木夭丑友什64aa33bb,6.734,18.0,123.0,33.0,54.0,1,1,1
752,木夭丑友什64aa34ab,3.781,0.0,0.0,0.0,4.0,0,0,0
760,木夭丑友什64aa36ab,0.525,0.0,0.0,0.0,2.0,0,0,0
761,木夭丑友什64aa36ba,0.525,68.0,394.0,114.0,41.0,1,0,0
762,木夭丑友什64aa36bb,1.453,143.0,785.0,373.0,32.0,1,0,0
765,木夭丑友什64aa37ba,1.825,14.0,13.0,0.0,11.0,1,1,1
770,木夭丑友什64aa38bb,3.594,0.0,0.0,0.0,1.0,0,0,0
776,木夭丑友什64ab27ab,1.803,27.0,43.0,0.0,9.0,1,0,0
777,木夭丑友什64ab27ba,3.31,15.0,38.0,6.0,7.0,1,1,1
781,木夭丑友什64ab28ba,1.809,0.0,0.0,0.0,2.0,1,0,0
782,木夭丑友什64ab28bb,2.319,194.0,268.0,27.0,11.0,1,1,1
783,木夭丑友什64ab29aa,2.319,52.0,49.0,0.0,2.0,1,0,0
784,木夭丑友什64ab29ab,2.802,79.0,136.0,18.0,42.0,0,1,1
785,木夭丑友什64ab29ba,3.046,49.0,52.0,8.0,8.0,1,0,0
786,木夭丑友什64ab29bb,3.046,0.0,0.0,0.0,3.0,1,0,0
787,木夭丑友什64ab30aa,3.046,64.0,154.0,25.0,26.0,1,1,1
788,木夭丑友什64ab30ab,4.021,76.0,97.0,14.0,14.0,0,0,0
792,木夭丑友什64ab31ab,3.272,0.0,7.0,0.0,3.0,0,0,0
793,木夭丑友什64ab31ba,2.962,0.0,0.0,0.0,1.0,1,0,0
794,木夭丑友什64ab31bb,2.813,0.0,13.0,0.0,7.0,1,1,1
795,木夭丑友什64ab32aa,2.157,19.0,221.0,121.0,36.0,1,1,1
796,木夭丑友什64ab32ab,27.247,90.0,600.0,245.0,30.0,1,1,1
797,木夭丑友什64ab32ba,27.247,98.0,488.0,189.0,46.0,1,1,1
798,木夭丑友什64ab32bb,27.247,70.0,294.0,122.0,37.0,1,1,1
799,木夭丑友什64ab33aa,31.435,17.0,109.0,41.0,53.0,1,1,1
800,木夭丑友什64ab33ab,16.9,32.0,213.0,84.0,87.0,1,1,1
801,木夭丑友什64ab33ba,6.734,19.0,154.0,50.0,82.0,1,1,1
802,木夭丑友什64ab33bb,6.734,0.0,20.0,8.0,11.0,1,0,0
804,木夭丑友什64ab34ab,2.229,0.0,0.0,0.0,27.0,1,0,0
805,木夭丑友什64ab34ba,2.59,40.0,63.0,0.0,44.0,0,1,1
806,木夭丑友什64ab34bb,2.406,34.0,169.0,18.0,41.0,1,0,0
810,木夭丑友什64ab35bb,1.963,6.0,0.0,0.0,3.0,0,0,0
811,木夭丑友什64ab36aa,1.963,13.0,15.0,0.0,6.0,0,0,0
812,木夭丑友什64ab36ab,0.525,41.0,153.0,29.0,3.0,1,0,0
813,木夭丑友什64ab36ba,0.525,104.0,732.0,240.0,19.0,1,0,0
814,木夭丑友什64ab36bb,1.453,210.0,1008.0,334.0,35.0,1,0,0
815,木夭丑友什64ab37aa,1.453,0.0,7.0,0.0,1.0,0,0,0
816,木夭丑友什64ab37ab,1.453,11.0,14.0,0.0,7.0,1,0,0
817,木夭丑友什64ab37ba,1.825,25.0,37.0,9.0,21.0,1,1,1
822,木夭丑友什64ab38bb,14.554,6.0,11.0,0.0,6.0,1,0,0
823,木夭丑友什64ab39aa,14.554,17.0,36.0,6.0,14.0,1,0,0
828,木夭丑友什64ba27ab,1.803,73.0,117.0,6.0,38.0,0,1,1
829,木夭丑友什64ba27ba,10.222,34.0,87.0,0.0,25.0,1,1,1
831,木夭丑友什64ba28aa,9.545,0.0,0.0,0.0,2.0,1,0,0
832,木夭丑友什64ba28ab,1.809,0.0,0.0,0.0,8.0,1,0,0
834,木夭丑友什64ba28bb,2.319,106.0,157.0,21.0,17.0,1,0,0
835,木夭丑友什64ba29aa,2.319,0.0,0.0,0.0,13.0,0,0,0
836,木夭丑友什64ba29ab,7.616,27.0,46.0,0.0,14.0,1,1,1
837,木夭丑友什64ba29ba,3.046,0.0,0.0,0.0,7.0,1,0,0
838,木夭丑友什64ba29bb,3.046,0.0,0.0,0.0,10.0,1,0,0
839,木夭丑友什64ba30aa,3.046,166.0,382.0,49.0,43.0,1,1,1
840,木夭丑友什64ba30ab,6.123,79.0,215.0,35.0,35.0,1,1,1
841,木夭丑友什64ba30ba,4.106,0.0,0.0,0.0,11.0,1,0,0
842,木夭丑友什64ba30bb,4.106,8.0,28.0,7.0,22.0,1,1,1
843,木夭丑友什64ba31aa,3.437,29.0,88.0,19.0,35.0,1,1,1
846,木夭丑友什64ba31bb,3.42,0.0,21.0,6.0,14.0,1,1,1
847,木夭丑友什64ba32aa,3.42,13.0,90.0,32.0,38.0,1,1,1
848,木夭丑友什64ba32ab,3.42,36.0,196.0,66.0,78.0,1,1,1
849,木夭丑友什64ba32ba,2.718,26.0,132.0,31.0,47.0,1,1,1
850,木夭丑友什64ba32bb,2.48,12.0,77.0,28.0,39.0,1,1,1
851,木夭丑友什64ba33aa,2.418,10.0,76.0,26.0,36.0,1,1,1
854,木夭丑友什64ba33bb,1.84,0.0,64.0,0.0,6.0,1,1,1
858,木夭丑友什64ba34bb,2.406,28.0,59.0,11.0,24.0,1,0,0
859,木夭丑友什64ba35aa,2.202,0.0,0.0,0.0,8.0,1,0,0
861,木夭丑友什64ba35ba,1.963,17.0,22.0,0.0,19.0,1,0,0
862,木夭丑友什64ba35bb,1.963,16.0,28.0,0.0,27.0,0,1,1
863,木夭丑友什64ba36aa,1.963,58.0,207.0,58.0,48.0,1,1,1
864,木夭丑友什64ba36ab,1.185,51.0,207.0,61.0,17.0,1,1,1
865,木夭丑友什64ba36ba,0.718,75.0,319.0,65.0,21.0,1,0,0
866,木夭丑友什64ba36bb,1.453,366.0,701.0,100.0,36.0,1,0,0
867,木夭丑友什64ba37aa,1.453,44.0,96.0,7.0,2.0,0,0,0
868,木夭丑友什64ba37ab,1.453,0.0,6.0,0.0,14.0,1,0,0
872,木夭丑友什64ba38ab,2.064,8.0,8.0,0.0,4.0,0,1,1
873,木夭丑友什64ba38ba,2.064,0.0,0.0,0.0,1.0,0,0,0
874,木夭丑友什64ba38bb,2.064,18.0,39.0,9.0,13.0,1,0,0
875,木夭丑友什64ba39aa,2.579,88.0,202.0,31.0,79.0,1,1,1
876,木夭丑友什64ba39ab,2.579,6.0,12.0,0.0,5.0,0,1,1
877,木夭丑友什64ba39ba,3.458,12.0,14.0,0.0,11.0,1,0,0
883,木夭丑友什64bb27ab,1.566,0.0,0.0,0.0,2.0,1,0,0
886,木夭丑友什64bb28aa,0.358,0.0,0.0,0.0,2.0,1,0,0
887,木夭丑友什64bb28ab,0.134,0.0,0.0,0.0,9.0,1,0,0
888,木夭丑友什64bb28ba,1.809,0.0,0.0,0.0,6.0,1,0,0
889,木夭丑友什64bb28bb,2.319,0.0,0.0,0.0,7.0,1,0,0
890,木夭丑友什64bb29aa,2.319,0.0,6.0,0.0,8.0,0,0,0
891,木夭丑友什64bb29ab,7.616,0.0,0.0,0.0,7.0,1,1,1
893,木夭丑友什64bb29bb,3.046,0.0,0.0,0.0,9.0,1,0,0
894,木夭丑友什64bb30aa,3.046,0.0,0.0,0.0,13.0,1,0,0
896,木夭丑友什64bb30ba,3.566,0.0,0.0,0.0,11.0,1,0,0
898,木夭丑友什64bb31aa,3.437,0.0,0.0,0.0,4.0,1,0,0
913,木夭丑友什64bb34bb,2.344,15.0,27.0,0.0,10.0,1,0,0
914,木夭丑友什64bb35aa,2.344,0.0,0.0,0.0,5.0,1,0,0
915,木夭丑友什64bb35ab,2.202,0.0,0.0,0.0,8.0,1,0,0
916,木夭丑友什64bb35ba,2.089,0.0,0.0,0.0,20.0,1,0,0
917,木夭丑友什64bb35bb,1.276,12.0,27.0,0.0,20.0,0,1,1
918,木夭丑友什64bb36aa,1.591,8.0,0.0,0.0,11.0,1,1,1
919,木夭丑友什64bb36ab,1.591,15.0,16.0,0.0,15.0,0,1,1
920,木夭丑友什64bb36ba,1.591,84.0,169.0,23.0,71.0,0,1,1
921,木夭丑友什64bb36bb,1.374,0.0,10.0,0.0,3.0,0,0,0
923,木夭丑友什64bb37ab,0.786,0.0,0.0,0.0,3.0,0,1,1
929,木夭丑友什64bb38bb,2.064,14.0,40.0,7.0,7.0,1,0,0
930,木夭丑友什64bb39aa,2.579,58.0,103.0,10.0,36.0,1,1,1
931,木夭丑友什64bb39ab,2.579,29.0,71.0,11.0,25.0,0,1,1
932,木夭丑友什64bb39ba,3.458,24.0,74.0,17.0,19.0,1,0,0
933,木夭丑友什64bb39bb,3.461,18.0,45.0,10.0,20.0,1,1,1
934,木夭丑友什64bb40aa,2.499,29.0,74.0,13.0,37.0,1,1,1
938,木夭丑友什65aa27aa,1.464,0.0,0.0,0.0,2.0,0,0,0
939,木夭丑友什65aa27ab,1.563,150.0,355.0,22.0,1.0,0,0,0
940,木夭丑友什65aa27ba,0.358,33.0,141.0,23.0,5.0,0,0,0
941,木夭丑友什65aa27bb,0.358,26.0,83.0,0.0,9.0,0,1,1
