,gid,pa,ep,fp,yp,nb,year,cctv,light,log_pa,log_nb
5,木夭丑友什58ab30ba,8.15,6.0,7.0,0.0,2.0,2002,0,3,2.0980179272527715,0.6931471805599453
17,木夭丑友什58bb30ab,7.768,0.0,0.0,0.0,2.0,1971,0,10,2.0500127309890237,0.6931471805599453
26,木夭丑友什59aa30aa,7.768,0.0,0.0,0.0,2.0,1985,0,5,2.0500127309890237,0.6931471805599453
27,木夭丑友什59aa30ab,7.768,0.0,0.0,0.0,3.0,1976,0,4,2.0500127309890237,1.0986122886681098
42,木夭丑友什59ab30aa,6.89,0.0,0.0,0.0,3.0,1938,1,2,1.9300710850255671,1.0986122886681098
43,木夭丑友什59ab30ab,6.89,0.0,0.0,0.0,2.0,1979,0,0,1.9300710850255671,0.6931471805599453
66,木夭丑友什59ba30aa,6.339,0.0,0.0,0.0,14.0,2023,0,3,1.8467210273020294,2.6390573296152584
69,木夭丑友什59ba30bb,4.878,36.0,27.0,0.0,8.0,2005,0,2,1.5847352997937285,2.0794415416798357
71,木夭丑友什59ba31ab,4.285,0.0,6.0,0.0,5.0,1992,0,0,1.4551205520497432,1.6094379124341003
93,木夭丑友什59bb29bb,6.541,0.0,0.0,0.0,4.0,2009,0,4,1.8780900589790757,1.3862943611198906
96,木夭丑友什59bb30ba,5.025,9.0,18.0,6.0,11.0,2002,0,21,1.6144254539451395,2.3978952727983707
97,木夭丑友什59bb30bb,4.164,7.0,7.0,0.0,4.0,2006,0,11,1.4264761507527224,1.3862943611198906
98,木夭丑友什59bb31aa,3.953,0.0,8.0,0.0,14.0,2004,0,4,1.3744747843145484,2.6390573296152584
99,木夭丑友什59bb31ab,4.028,0.0,8.0,0.0,14.0,1994,0,14,1.3932699748563158,2.6390573296152584
100,木夭丑友什59bb31ba,4.028,0.0,0.0,0.0,4.0,1958,0,0,1.3932699748563158,1.3862943611198906
105,木夭丑友什59bb32bb,2.968,0.0,0.0,0.0,4.0,2002,0,0,1.087888325305134,1.3862943611198906
122,木夭丑友什60aa29ba,7.025,0.0,0.0,0.0,4.0,2002,0,1,1.9494752152198096,1.3862943611198906
123,木夭丑友什60aa29bb,6.339,8.0,7.0,0.0,25.0,2006,0,15,1.8467210273020294,3.2188758248682006
124,木夭丑友什60aa30aa,6.339,0.0,0.0,0.0,8.0,2007,0,9,1.8467210273020294,2.0794415416798357
125,木夭丑友什60aa30ab,5.025,0.0,0.0,0.0,2.0,2002,0,1,1.6144254539451395,0.6931471805599453
131,木夭丑友什60aa31bb,3.708,0.0,0.0,0.0,1.0,2000,0,6,1.3104926477036087,0.0
134,木夭丑友什60aa32ba,2.781,0.0,0.0,0.0,1.0,2006,0,23,1.022810575251828,0.0
135,木夭丑友什60aa32bb,2.968,0.0,0.0,0.0,1.0,1984,1,0,1.087888325305134,0.0
154,木夭丑友什60ab29ba,5.571,7.0,13.0,0.0,11.0,2003,0,0,1.7175745710386783,2.3978952727983707
155,木夭丑友什60ab29bb,5.954,0.0,0.0,0.0,4.0,2005,0,0,1.7840632625935846,1.3862943611198906
167,木夭丑友什60ab32bb,2.885,0.0,0.0,0.0,14.0,1997,0,0,1.0595248999600628,2.6390573296152584
185,木夭丑友什60ba29ab,5.571,0.0,0.0,0.0,1.0,1968,0,0,1.7175745710386783,0.0
198,木夭丑友什60ba32ba,5.564,21.0,55.0,0.0,14.0,2005,0,14,1.7163172740611965,2.6390573296152584
199,木夭丑友什60ba32bb,2.144,0.0,9.0,0.0,3.0,1987,0,0,0.7626732432085556,1.0986122886681098
216,木夭丑友什60bb29aa,5.275,0.0,0.0,0.0,4.0,1993,1,0,1.6629786793621302,1.3862943611198906
217,木夭丑友什60bb29ab,4.753,27.0,66.0,9.0,20.0,2007,1,0,1.5587759976318725,2.995732273553991
229,木夭丑友什60bb32ab,5.564,0.0,0.0,0.0,3.0,2006,0,0,1.7163172740611965,1.0986122886681098
230,木夭丑友什60bb32ba,5.564,93.0,253.0,51.0,54.0,2008,0,29,1.7163172740611965,3.9889840465642745
231,木夭丑友什60bb32bb,9.795,12.0,113.0,34.0,16.0,2017,0,0,2.2818720513965043,2.772588722239781
248,木夭丑友什61aa29aa,5.275,0.0,0.0,0.0,3.0,2001,0,0,1.6629786793621302,1.0986122886681098
249,木夭丑友什61aa29ab,4.753,0.0,21.0,10.0,7.0,2004,0,0,1.5587759976318725,1.9459101490553132
255,木夭丑友什61aa30bb,4.32,0.0,0.0,0.0,3.0,1928,0,4,1.463255402256019,1.0986122886681098
261,木夭丑友什61aa32ab,1.505,0.0,0.0,0.0,2.0,2002,0,0,0.40879289820083897,0.6931471805599453
262,木夭丑友什61aa32ba,1.505,65.0,223.0,40.0,41.0,2010,1,9,0.40879289820083897,3.713572066704308
263,木夭丑友什61aa32bb,1.505,28.0,109.0,23.0,22.0,2012,0,2,0.40879289820083897,3.091042453358316
293,木夭丑友什61ab32ab,1.505,36.0,291.0,86.0,1.0,2018,1,0,0.40879289820083897,0.0
294,木夭丑友什61ab32ba,1.505,14.0,67.0,15.0,43.0,2014,6,0,0.40879289820083897,3.7612001156935624
295,木夭丑友什61ab32bb,1.505,45.0,168.0,45.0,9.0,2010,1,0,0.40879289820083897,2.1972245773362196
313,木夭丑友什61ba29aa,4.173,0.0,0.0,0.0,3.0,1989,0,5,1.4286352016094155,1.0986122886681098
326,木夭丑友什61ba32ab,1.505,9.0,86.0,26.0,35.0,2013,2,0,0.40879289820083897,3.5553480614894135
327,木夭丑友什61ba32ba,1.876,28.0,115.0,37.0,53.0,2012,9,0,0.6291418505840328,3.970291913552122
328,木夭丑友什61ba32bb,1.876,25.0,110.0,29.0,5.0,2010,1,0,0.6291418505840328,1.6094379124341003
342,木夭丑友什61ba36ab,5.342,10.0,17.0,0.0,10.0,1996,0,5,1.675600114687769,2.302585092994046
357,木夭丑友什61bb31bb,1.394,21.0,79.0,14.0,1.0,2009,0,0,0.3321773123383321,0.0
359,木夭丑友什61bb32ab,7.653,30.0,193.0,85.0,28.0,2013,4,0,2.035097727827784,3.332204510175204
360,木夭丑友什61bb32ba,1.876,71.0,309.0,106.0,62.0,2012,8,0,0.6291418505840328,4.127134385045092
361,木夭丑友什61bb32bb,1.876,37.0,99.0,26.0,5.0,2010,0,0,0.6291418505840328,1.6094379124341003
375,木夭丑友什61bb36ab,4.44,49.0,76.0,0.0,31.0,2006,0,9,1.4906543764441336,3.4339872044851463
376,木夭丑友什61bb36ba,4.44,27.0,63.0,0.0,32.0,2004,0,0,1.4906543764441336,3.4657359027997265
390,木夭丑友什62aa31ba,1.394,37.0,100.0,17.0,2.0,2009,2,0,0.3321773123383321,0.6931471805599453
391,木夭丑友什62aa31bb,1.394,343.0,982.0,225.0,14.0,2009,0,0,0.3321773123383321,2.6390573296152584
392,木夭丑友什62aa32aa,1.038,227.0,898.0,277.0,8.0,2009,5,0,0.03729578474369693,2.0794415416798357
393,木夭丑友什62aa32ab,0.525,187.0,739.0,185.0,20.0,2009,4,0,-0.6443570163905132,2.995732273553991
394,木夭丑友什62aa32ba,1.876,117.0,527.0,169.0,15.0,2008,2,0,0.6291418505840328,2.70805020110221
395,木夭丑友什62aa32bb,18.176,75.0,520.0,186.0,19.0,2009,4,0,2.900102042538741,2.9444389791664403
399,木夭丑友什62aa33bb,3.182,0.0,0.0,0.0,2.0,1987,0,1,1.157509929915595,0.6931471805599453
401,木夭丑友什62aa34ab,5.378,0.0,0.0,0.0,11.0,2004,0,5,1.682316557846673,2.3978952727983707
409,木夭丑友什62aa36ab,4.44,14.0,35.0,0.0,17.0,2003,1,1,1.4906543764441336,2.833213344056216
410,木夭丑友什62aa36ba,4.44,22.0,43.0,0.0,23.0,2005,2,2,1.4906543764441336,3.1354942159291497
411,木夭丑友什62aa36bb,4.133,6.0,12.0,0.0,23.0,2004,2,6,1.4190035355295954,3.1354942159291497
412,木夭丑友什62aa37aa,4.248,17.0,32.0,7.0,12.0,2007,0,8,1.4464482839396378,2.4849066497880004
418,木夭丑友什62ab28ab,4.628,6.0,7.0,0.0,2.0,1985,0,0,1.5321248093314301,0.6931471805599453
426,木夭丑友什62ab30ab,3.082,0.0,10.0,0.0,8.0,2011,0,0,1.125578736897924,2.0794415416798357
427,木夭丑友什62ab30ba,3.055,7.0,12.0,0.0,9.0,2013,0,3,1.1167795926235586,2.1972245773362196
431,木夭丑友什62ab31ba,1.394,94.0,229.0,47.0,16.0,2008,0,2,0.3321773123383321,2.772588722239781
432,木夭丑友什62ab31bb,0.892,105.0,254.0,64.0,3.0,2010,1,0,-0.11428914640212766,1.0986122886681098
433,木夭丑友什62ab32aa,0.892,122.0,529.0,152.0,7.0,2009,2,0,-0.11428914640212766,1.9459101490553132
434,木夭丑友什62ab32ab,0.892,159.0,666.0,210.0,24.0,2009,1,0,-0.11428914640212766,3.1780538303479458
435,木夭丑友什62ab32ba,0.525,144.0,678.0,204.0,29.0,2009,4,0,-0.6443570163905132,3.367295829986474
436,木夭丑友什62ab32bb,18.176,80.0,368.0,80.0,9.0,2009,4,0,2.900102042538741,2.1972245773362196
440,木夭丑友什62ab33bb,3.182,0.0,0.0,0.0,1.0,2010,0,0,1.157509929915595,0.0
442,木夭丑友什62ab34ab,5.22,0.0,0.0,0.0,10.0,2000,0,5,1.6524974018945473,2.302585092994046
447,木夭丑友什62ab35ba,4.883,0.0,0.0,0.0,14.0,2023,0,0,1.5857597850795233,2.6390573296152584
448,木夭丑友什62ab35bb,4.883,0.0,0.0,0.0,1.0,2001,0,0,1.5857597850795233,0.0
450,木夭丑友什62ab36ab,6.677,0.0,0.0,0.0,3.0,2017,0,0,1.8986687848757318,1.0986122886681098
452,木夭丑友什62ab36bb,4.133,0.0,0.0,0.0,6.0,1991,0,0,1.4190035355295954,1.791759469228055
453,木夭丑友什62ab37aa,4.248,19.0,31.0,0.0,18.0,1994,0,4,1.4464482839396378,2.8903717578961645
460,木夭丑友什62ba28ab,5.45,0.0,0.0,0.0,4.0,1997,0,0,1.6956156086751528,1.3862943611198906
468,木夭丑友什62ba30ab,2.949,0.0,0.0,0.0,1.0,2017,0,0,1.0814661298331392,0.0
469,木夭丑友什62ba30ba,3.055,14.0,17.0,0.0,11.0,2013,0,0,1.1167795926235586,2.3978952727983707
470,木夭丑友什62ba30bb,3.055,0.0,11.0,0.0,12.0,2015,0,0,1.1167795926235586,2.4849066497880004
471,木夭丑友什62ba31aa,3.055,10.0,15.0,0.0,9.0,2007,0,0,1.1167795926235586,2.1972245773362196
476,木夭丑友什62ba32ab,0.892,32.0,202.0,89.0,21.0,2010,5,0,-0.11428914640212766,3.044522437723423
477,木夭丑友什62ba32ba,0.525,81.0,263.0,49.0,75.0,2010,11,0,-0.6443570163905132,4.31748811353631
478,木夭丑友什62ba32bb,18.176,101.0,290.0,49.0,64.0,2012,11,0,2.900102042538741,4.1588830833596715
479,木夭丑友什62ba33aa,18.176,26.0,61.0,12.0,5.0,2010,4,0,2.900102042538741,1.6094379124341003
485,木夭丑友什62ba34ba,5.22,0.0,0.0,0.0,2.0,2003,0,1,1.6524974018945473,0.6931471805599453
488,木夭丑友什62ba35ab,4.883,14.0,39.0,0.0,17.0,2012,0,2,1.5857597850795233,2.833213344056216
489,木夭丑友什62ba35ba,4.883,16.0,21.0,0.0,20.0,1998,1,10,1.5857597850795233,2.995732273553991
490,木夭丑友什62ba35bb,4.883,0.0,0.0,0.0,3.0,2008,0,1,1.5857597850795233,1.0986122886681098
501,木夭丑友什62bb28aa,2.882,8.0,14.0,0.0,12.0,1985,0,5,1.0584844975773304,2.4849066497880004
502,木夭丑友什62bb28ab,2.799,0.0,0.0,0.0,3.0,1987,0,0,1.0292622105333165,1.0986122886681098
504,木夭丑友什62bb28bb,3.272,0.0,7.0,0.0,8.0,2004,1,8,1.1854014187405006,2.0794415416798357
505,木夭丑友什62bb29aa,3.272,8.0,12.0,0.0,5.0,2005,0,5,1.1854014187405006,1.6094379124341003
515,木夭丑友什62bb31ba,3.518,0.0,7.0,0.0,3.0,2011,0,0,1.2578926463153663,1.0986122886681098
517,木夭丑友什62bb32aa,1.181,0.0,0.0,0.0,4.0,2012,1,0,0.16636153721522529,1.3862943611198906
518,木夭丑友什62bb32ab,1.181,34.0,203.0,50.0,76.0,2012,4,0,0.16636153721522529,4.330733340286331
519,木夭丑友什62bb32ba,0.294,40.0,175.0,41.0,72.0,2013,6,0,-1.2241755116434554,4.276666119016055
520,木夭丑友什62bb32bb,0.53,16.0,59.0,8.0,34.0,2017,4,0,-0.6348782724359695,3.5263605246161616
521,木夭丑友什62bb33aa,5.4,8.0,19.0,0.0,18.0,2010,0,0,1.6863989535702288,2.8903717578961645
525,木夭丑友什62bb34aa,4.079,0.0,0.0,0.0,5.0,2005,0,1,1.4058518603354213,1.6094379124341003
526,木夭丑友什62bb34ab,4.079,0.0,0.0,0.0,2.0,2009,0,5,1.4058518603354213,0.6931471805599453
530,木夭丑友什62bb35ab,4.883,8.0,21.0,0.0,12.0,2003,1,23,1.5857597850795233,2.4849066497880004
531,木夭丑友什62bb35ba,4.883,0.0,6.0,0.0,6.0,2010,0,19,1.5857597850795233,1.791759469228055
536,木夭丑友什62bb36bb,3.315,0.0,0.0,0.0,1.0,1998,0,1,1.1984576236378257,0.0
542,木夭丑友什63aa28aa,2.882,0.0,0.0,0.0,1.0,1997,0,3,1.0584844975773304,0.0
543,木夭丑友什63aa28ab,2.799,0.0,6.0,0.0,2.0,2007,0,0,1.0292622105333165,0.6931471805599453
544,木夭丑友什63aa28ba,3.083,0.0,8.0,0.0,1.0,1970,0,10,1.1259031489040134,0.0
545,木夭丑友什63aa28bb,3.083,0.0,0.0,0.0,1.0,2002,0,4,1.1259031489040134,0.0
558,木夭丑友什63aa32aa,1.181,8.0,33.0,0.0,19.0,2013,2,0,0.16636153721522529,2.9444389791664403
559,木夭丑友什63aa32ab,1.181,54.0,219.0,74.0,74.0,2012,11,0,0.16636153721522529,4.30406509320417
560,木夭丑友什63aa32ba,0.477,23.0,101.0,19.0,66.0,2013,7,0,-0.7402387880937958,4.189654742026425
561,木夭丑友什63aa32bb,0.53,13.0,41.0,13.0,29.0,2015,0,0,-0.6348782724359695,3.367295829986474
566,木夭丑友什63aa34aa,4.079,0.0,0.0,0.0,34.0,2001,1,14,1.4058518603354213,3.5263605246161616
579,木夭丑友什63aa37ab,1.724,31.0,62.0,9.0,29.0,2005,0,11,0.5446471722415014,3.367295829986474
586,木夭丑友什63ab28ab,2.799,0.0,7.0,0.0,6.0,1988,0,4,1.0292622105333165,1.791759469228055
599,木夭丑友什63ab31ba,3.518,0.0,9.0,0.0,14.0,2023,0,0,1.2578926463153663,2.6390573296152584
600,木夭丑友什63ab31bb,1.181,35.0,76.0,20.0,13.0,2009,0,0,0.16636153721522529,2.5649493574615367
601,木夭丑友什63ab32aa,1.181,153.0,962.0,322.0,15.0,2009,1,0,0.16636153721522529,2.70805020110221
602,木夭丑友什63ab32ab,1.181,109.0,516.0,126.0,32.0,2009,2,0,0.16636153721522529,3.4657359027997265
603,木夭丑友什63ab32ba,0.477,101.0,406.0,88.0,27.0,2012,1,0,-0.7402387880937958,3.295836866004329
610,木夭丑友什63ab34ab,3.423,0.0,0.0,0.0,14.0,2009,0,1,1.2305173595480483,2.6390573296152584
611,木夭丑友什63ab34ba,3.423,0.0,0.0,0.0,38.0,1994,0,8,1.2305173595480483,3.6375861597263857
612,木夭丑友什63ab34bb,4.105,0.0,0.0,0.0,3.0,2000,1,1,1.4122057429043917,1.0986122886681098
622,木夭丑友什63ab37ab,1.724,11.0,33.0,0.0,14.0,2002,2,9,0.5446471722415014,2.6390573296152584
635,木夭丑友什63ba29ba,4.808,0.0,0.0,0.0,8.0,2017,0,7,1.5702811972329065,2.0794415416798357
643,木夭丑友什63ba31ba,2.162,10.0,19.0,6.0,13.0,2010,0,0,0.7710337192170165,2.5649493574615367
644,木夭丑友什63ba31bb,3.025,0.0,0.0,0.0,3.0,2015,1,0,1.1069110914828049,1.0986122886681098
645,木夭丑友什63ba32aa,1.59,256.0,1353.0,462.0,21.0,2009,0,0,0.4637340162321402,3.044522437723423
646,木夭丑友什63ba32ab,1.337,0.0,34.0,0.0,40.0,2011,3,11,0.2904282981198061,3.6888794541139363
647,木夭丑友什63ba32ba,1.337,33.0,121.0,19.0,32.0,2010,5,4,0.2904282981198061,3.4657359027997265
652,木夭丑友什63ba33bb,2.508,21.0,58.0,11.0,3.0,2009,0,0,0.9194856227706742,1.0986122886681098
654,木夭丑友什63ba34ab,3.423,0.0,0.0,0.0,16.0,2004,0,12,1.2305173595480483,2.772588722239781
655,木夭丑友什63ba34ba,3.423,0.0,0.0,0.0,7.0,1999,0,3,1.2305173595480483,1.9459101490553132
665,木夭丑友什63ba37aa,1.724,0.0,6.0,0.0,8.0,2000,0,0,0.5446471722415014,2.0794415416798357
666,木夭丑友什63ba37ab,1.724,0.0,0.0,0.0,2.0,2000,0,0,0.5446471722415014,0.6931471805599453
676,木夭丑友什63bb27bb,2.821,0.0,0.0,0.0,1.0,1951,0,2,1.0370914320198592,0.0
682,木夭丑友什63bb29ab,3.5,0.0,0.0,0.0,8.0,2011,0,4,1.252762968495368,2.0794415416798357
683,木夭丑友什63bb29ba,4.27,0.0,0.0,0.0,8.0,2009,0,1,1.451613827240533,2.0794415416798357
685,木夭丑友什63bb30aa,4.021,68.0,107.0,10.0,13.0,2002,1,4,1.391530627915137,2.5649493574615367
686,木夭丑友什63bb30ab,4.021,37.0,59.0,0.0,12.0,1997,0,4,1.391530627915137,2.4849066497880004
691,木夭丑友什63bb31ba,2.162,7.0,11.0,0.0,11.0,2007,0,0,0.7710337192170165,2.3978952727983707
693,木夭丑友什63bb32aa,1.074,192.0,993.0,416.0,23.0,2009,2,0,0.071389996086673,3.1354942159291497
694,木夭丑友什63bb32ab,1.337,0.0,0.0,0.0,78.0,2011,10,13,0.2904282981198061,4.356708826689592
697,木夭丑友什63bb33aa,2.291,0.0,0.0,0.0,2.0,2015,0,0,0.8289884034713584,0.6931471805599453
698,木夭丑友什63bb33ab,2.291,128.0,292.0,73.0,31.0,2013,3,7,0.8289884034713584,3.4339872044851463
699,木夭丑友什63bb33ba,2.291,115.0,238.0,60.0,19.0,2009,2,1,0.8289884034713584,2.9444389791664403
700,木夭丑友什63bb33bb,3.781,57.0,184.0,46.0,33.0,2012,1,4,1.329988524908796,3.4965075614664802
703,木夭丑友什63bb34ba,3.423,10.0,14.0,0.0,11.0,2005,0,0,1.2305173595480483,2.3978952727983707
711,木夭丑友什63bb36ba,1.452,0.0,0.0,0.0,1.0,1985,0,0,0.3729419164026043,0.0
730,木夭丑友什64aa28bb,2.389,15.0,12.0,0.0,1.0,2009,0,0,0.8708748683436724,0.0
732,木夭丑友什64aa29ab,3.5,0.0,12.0,0.0,19.0,2010,0,4,1.252762968495368,2.9444389791664403
733,木夭丑友什64aa29ba,4.27,0.0,7.0,0.0,11.0,2012,0,4,1.451613827240533,2.3978952727983707
735,木夭丑友什64aa30aa,4.021,23.0,67.0,8.0,13.0,2002,1,3,1.391530627915137,2.5649493574615367
736,木夭丑友什64aa30ab,4.021,17.0,34.0,0.0,8.0,1999,0,3,1.391530627915137,2.0794415416798357
740,木夭丑友什64aa31ab,3.272,0.0,0.0,0.0,4.0,2008,0,0,1.1854014187405006,1.3862943611198906
741,木夭丑友什64aa31ba,2.962,0.0,0.0,0.0,7.0,2003,0,0,1.0858647158456072,1.9459101490553132
743,木夭丑友什64aa32aa,2.157,49.0,615.0,352.0,5.0,2009,1,0,0.7687183674070194,1.6094379124341003
744,木夭丑友什64aa32ab,2.306,132.0,846.0,350.0,35.0,2010,2,8,0.8355144218468673,3.5553480614894135
746,木夭丑友什64aa32bb,2.849,32.0,106.0,33.0,5.0,2009,0,0,1.0469680555157712,1.6094379124341003
747,木夭丑友什64aa33aa,2.291,117.0,371.0,104.0,5.0,2009,0,0,0.8289884034713584,1.6094379124341003
748,木夭丑友什64aa33ab,2.291,187.0,692.0,252.0,28.0,2009,2,1,0.8289884034713584,3.332204510175204
749,木夭丑友什64aa33ba,6.734,55.0,211.0,54.0,40.0,2013,5,13,1.9071693207388827,3.6888794541139363
750,木夭丑友什64aa33bb,6.734,18.0,123.0,33.0,54.0,2013,15,14,1.9071693207388827,3.9889840465642745
752,木夭丑友什64aa34ab,3.781,0.0,0.0,0.0,4.0,2002,0,1,1.329988524908796,1.3862943611198906
760,木夭丑友什64aa36ab,0.525,0.0,0.0,0.0,2.0,1999,0,3,-0.6443570163905132,0.6931471805599453
761,木夭丑友什64aa36ba,0.525,68.0,394.0,114.0,41.0,2019,0,0,-0.6443570163905132,3.713572066704308
762,木夭丑友什64aa36bb,1.453,143.0,785.0,373.0,32.0,2020,0,0,0.3736303845881459,3.4657359027997265
765,木夭丑友什64aa37ba,1.825,14.0,13.0,0.0,11.0,2010,1,7,0.6015799870344548,2.3978952727983707
770,木夭丑友什64aa38bb,3.594,0.0,0.0,0.0,1.0,1970,0,0,1.2792657883613672,0.0
776,木夭丑友什64ab27ab,1.803,27.0,43.0,0.0,9.0,2006,0,4,0.5894519442211802,2.1972245773362196
777,木夭丑友什64ab27ba,3.31,15.0,38.0,6.0,7.0,2009,1,0,1.1969481893889715,1.9459101490553132
781,木夭丑友什64ab28ba,1.809,0.0,0.0,0.0,2.0,2006,0,0,0.592774206413158,0.6931471805599453
782,木夭丑友什64ab28bb,2.319,194.0,268.0,27.0,11.0,2009,1,0,0.8411360582733945,2.3978952727983707
783,木夭丑友什64ab29aa,2.319,52.0,49.0,0.0,2.0,2009,0,0,0.8411360582733945,0.6931471805599453
784,木夭丑友什64ab29ab,2.802,79.0,136.0,18.0,42.0,2002,2,11,1.0303334479148152,3.7376696182833684
785,木夭丑友什64ab29ba,3.046,49.0,52.0,8.0,8.0,2007,0,0,1.11382925447297,2.0794415416798357
786,木夭丑友什64ab29bb,3.046,0.0,0.0,0.0,3.0,2010,0,0,1.11382925447297,1.0986122886681098
787,木夭丑友什64ab30aa,3.046,64.0,154.0,25.0,26.0,2007,1,6,1.11382925447297,3.258096538021482
788,木夭丑友什64ab30ab,4.021,76.0,97.0,14.0,14.0,2000,0,0,1.391530627915137,2.6390573296152584
792,木夭丑友什64ab31ab,3.272,0.0,7.0,0.0,3.0,2000,0,0,1.1854014187405006,1.0986122886681098
793,木夭丑友什64ab31ba,2.962,0.0,0.0,0.0,1.0,2005,0,0,1.0858647158456072,0.0
794,木夭丑友什64ab31bb,2.813,0.0,13.0,0.0,7.0,2012,1,3,1.03425152950772,1.9459101490553132
795,木夭丑友什64ab32aa,2.157,19.0,221.0,121.0,36.0,2012,2,7,0.7687183674070194,3.58351893845611
796,木夭丑友什64ab32ab,27.247,90.0,600.0,245.0,30.0,2009,3,0,3.304943423305593,3.4011973816621555
797,木夭丑友什64ab32ba,27.247,98.0,488.0,189.0,46.0,2011,2,43,3.304943423305593,3.828641396489095
798,木夭丑友什64ab32bb,27.247,70.0,294.0,122.0,37.0,2009,2,5,3.304943423305593,3.6109179126442243
799,木夭丑友什64ab33aa,31.435,17.0,109.0,41.0,53.0,2013,2,14,3.4479219218350243,3.970291913552122
800,木夭丑友什64ab33ab,16.9,32.0,213.0,84.0,87.0,2013,10,24,2.8273136219290276,4.465908118654584
801,木夭丑友什64ab33ba,6.734,19.0,154.0,50.0,82.0,2013,3,17,1.9071693207388827,4.406719247264253
802,木夭丑友什64ab33bb,6.734,0.0,20.0,8.0,11.0,2014,0,1,1.9071693207388827,2.3978952727983707
804,木夭丑友什64ab34ab,2.229,0.0,0.0,0.0,27.0,2006,0,3,0.8015530544037318,3.295836866004329
805,木夭丑友什64ab34ba,2.59,40.0,63.0,0.0,44.0,1997,1,13,0.9516578757114463,3.784189633918261
806,木夭丑友什64ab34bb,2.406,34.0,169.0,18.0,41.0,2018,0,0,0.8779656175524871,3.713572066704308
810,木夭丑友什64ab35bb,1.963,6.0,0.0,0.0,3.0,1998,0,0,0.6744739152943241,1.0986122886681098
811,木夭丑友什64ab36aa,1.963,13.0,15.0,0.0,6.0,1999,0,0,0.6744739152943241,1.791759469228055
812,木夭丑友什64ab36ab,0.525,41.0,153.0,29.0,3.0,2020,0,0,-0.6443570163905132,1.0986122886681098
813,木夭丑友什64ab36ba,0.525,104.0,732.0,240.0,19.0,2018,0,0,-0.6443570163905132,2.9444389791664403
814,木夭丑友什64ab36bb,1.453,210.0,1008.0,334.0,35.0,2020,0,0,0.3736303845881459,3.5553480614894135
815,木夭丑友什64ab37aa,1.453,0.0,7.0,0.0,1.0,1994,0,1,0.3736303845881459,0.0
816,木夭丑友什64ab37ab,1.453,11.0,14.0,0.0,7.0,2005,0,6,0.3736303845881459,1.9459101490553132
817,木夭丑友什64ab37ba,1.825,25.0,37.0,9.0,21.0,2008,1,9,0.6015799870344548,3.044522437723423
822,木夭丑友什64ab38bb,14.554,6.0,11.0,0.0,6.0,2003,0,2,2.6778658699248945,1.791759469228055
823,木夭丑友什64ab39aa,14.554,17.0,36.0,6.0,14.0,2004,0,8,2.6778658699248945,2.6390573296152584
828,木夭丑友什64ba27ab,1.803,73.0,117.0,6.0,38.0,2000,3,1,0.5894519442211802,3.6375861597263857
829,木夭丑友什64ba27ba,10.222,34.0,87.0,0.0,25.0,2004,1,1,2.324542260346088,3.2188758248682006
831,木夭丑友什64ba28aa,9.545,0.0,0.0,0.0,2.0,2008,0,0,2.2560174571777107,0.6931471805599453
832,木夭丑友什64ba28ab,1.809,0.0,0.0,0.0,8.0,2006,0,0,0.592774206413158,2.0794415416798357
834,木夭丑友什64ba28bb,2.319,106.0,157.0,21.0,17.0,2007,0,1,0.8411360582733945,2.833213344056216
835,木夭丑友什64ba29aa,2.319,0.0,0.0,0.0,13.0,2002,0,0,0.8411360582733945,2.5649493574615367
836,木夭丑友什64ba29ab,7.616,27.0,46.0,0.0,14.0,2005,1,9,2.0302512974890643,2.6390573296152584
837,木夭丑友什64ba29ba,3.046,0.0,0.0,0.0,7.0,2004,0,0,1.11382925447297,1.9459101490553132
838,木夭丑友什64ba29bb,3.046,0.0,0.0,0.0,10.0,2009,0,1,1.11382925447297,2.302585092994046
