gid,nb
дь_58aa30ab,0
дь_58aa30ba,0
дь_58aa30bb,0
дь_58aa31aa,0
дь_58ab30ab,0
дь_58ab30ba,1
дь_58ab30bb,0
дь_58ab31aa,0
дь_58ab31ab,0
дь_58ba30ab,0
дь_58ba30ba,0
дь_58ba30bb,0
дь_58ba31aa,0
дь_58ba31ab,0
дь_58ba31ba,0
дь_58ba31bb,0
дь_58bb30aa,0
дь_58bb30ab,1
дь_58bb30ba,0
дь_58bb30bb,0
дь_58bb31aa,0
дь_58bb31ab,0
дь_58bb31ba,0
дь_58bb31bb,0
дь_58bb32aa,0
дь_58bb32ab,0
дь_59aa30aa,1
дь_59aa30ab,2
дь_59aa30ba,0
дь_59aa30bb,0
дь_59aa31aa,0
дь_59aa31ab,0
дь_59aa31ba,0
дь_59aa31bb,0
дь_59aa32aa,0
дь_59aa32ab,0
дь_59aa32ba,0
дь_59aa32bb,0
дь_59aa33aa,0
дь_59aa33ab,0
дь_59aa33ba,0
дь_59aa33bb,0
дь_59ab30aa,3
дь_59ab30ab,2
дь_59ab30ba,0
дь_59ab30bb,0
дь_59ab31aa,0
дь_59ab31ab,0
дь_59ab31ba,0
дь_59ab31bb,0
дь_59ab32aa,0
дь_59ab32ab,0
дь_59ab32ba,0
дь_59ab32bb,0
дь_59ab33aa,0
дь_59ab33ab,0
дь_59ab33ba,0
дь_59ab33bb,0
дь_59ab34ab,0
дь_59ab35aa,0
дь_59ab35ab,0
дь_59ab35ba,0
дь_59ab35bb,0
дь_59ab36aa,0
дь_59ab36ab,0
дь_59ab36ba,0
дь_59ba30aa,0
дь_59ba30ab,0
дь_59ba30ba,0
дь_59ba30bb,3
дь_59ba31aa,0
дь_59ba31ab,5
дь_59ba31ba,0
дь_59ba31bb,0
дь_59ba32aa,0
дь_59ba32ab,0
дь_59ba32ba,0
дь_59ba32bb,0
дь_59ba33aa,0
дь_59ba33ab,0
дь_59ba33ba,0
дь_59ba33bb,0
дь_59ba34aa,0
дь_59ba34ab,0
дь_59ba34ba,0
дь_59ba35aa,0
дь_59ba35ab,0
дь_59ba35ba,0
дь_59ba35bb,0
дь_59ba36aa,0
дь_59ba36ab,0
дь_59ba36ba,0
дь_59ba36bb,0
дь_59bb29bb,1
дь_59bb30aa,0
дь_59bb30ab,0
дь_59bb30ba,8
дь_59bb30bb,1
дь_59bb31aa,2
дь_59bb31ab,5
дь_59bb31ba,4
дь_59bb31bb,0
дь_59bb32aa,0
дь_59bb32ab,0
дь_59bb32ba,0
дь_59bb32bb,3
дь_59bb33aa,0
дь_59bb33ab,0
дь_59bb33ba,0
дь_59bb33bb,0
дь_59bb34aa,0
дь_59bb34ab,0
дь_59bb34ba,0
дь_59bb34bb,0
дь_59bb35aa,0
дь_59bb35ab,0
дь_59bb35ba,0
дь_59bb35bb,0
дь_59bb36aa,0
дь_59bb36ab,0
дь_59bb36ba,0
дь_59bb36bb,0
дь_60aa29ba,4
дь_60aa29bb,3
дь_60aa30aa,1
дь_60aa30ab,1
дь_60aa30ba,0
дь_60aa30bb,0
дь_60aa31aa,0
дь_60aa31ab,0
дь_60aa31ba,0
дь_60aa31bb,1
дь_60aa32aa,0
дь_60aa32ab,0
дь_60aa32ba,0
дь_60aa32bb,1
дь_60aa33aa,0
дь_60aa33ab,0
дь_60aa33ba,0
дь_60aa33bb,0
дь_60aa34aa,0
дь_60aa34ab,0
дь_60aa34ba,0
дь_60aa34bb,0
дь_60aa35aa,0
дь_60aa35ab,0
дь_60aa35ba,0
дь_60aa35bb,0
дь_60aa36aa,0
дь_60aa36ab,0
дь_60aa36ba,0
дь_60aa36bb,0
дь_60ab29aa,0
дь_60ab29ab,0
дь_60ab29ba,9
дь_60ab29bb,1
дь_60ab30aa,0
дь_60ab30ab,0
дь_60ab30ba,0
дь_60ab30bb,0
дь_60ab31aa,0
дь_60ab31ab,0
дь_60ab31ba,0
дь_60ab31bb,0
дь_60ab32aa,0
дь_60ab32ab,0
дь_60ab32ba,0
дь_60ab32bb,7
дь_60ab33aa,0
дь_60ab33ab,0
дь_60ab33ba,0
дь_60ab33bb,0
дь_60ab34aa,0
дь_60ab34ab,0
дь_60ab34ba,0
дь_60ab34bb,0
дь_60ab35aa,0
дь_60ab35ab,0
дь_60ab35ba,0
дь_60ab35bb,0
дь_60ab36aa,0
дь_60ab36ab,0
дь_60ab36ba,0
дь_60ab36bb,0
дь_60ba29aa,0
дь_60ba29ab,1
дь_60ba29ba,0
дь_60ba29bb,0
дь_60ba30aa,0
дь_60ba30ab,0
дь_60ba30ba,0
дь_60ba30bb,0
дь_60ba31aa,0
дь_60ba31ab,0
дь_60ba31ba,0
дь_60ba31bb,0
дь_60ba32aa,0
дь_60ba32ab,0
дь_60ba32ba,3
дь_60ba32bb,2
дь_60ba33aa,0
дь_60ba33ab,0
дь_60ba33ba,0
дь_60ba33bb,0
дь_60ba34aa,0
дь_60ba34ab,0
дь_60ba34ba,0
дь_60ba34bb,0
дь_60ba35aa,0
дь_60ba35ab,0
дь_60ba35ba,0
дь_60ba35bb,0
дь_60ba36aa,0
дь_60ba36ab,0
дь_60ba36ba,0
дь_60ba36bb,0
дь_60bb29aa,2
дь_60bb29ab,5
дь_60bb29ba,0
дь_60bb29bb,0
дь_60bb30aa,0
дь_60bb30ab,0
дь_60bb30ba,0
дь_60bb30bb,1
дь_60bb31aa,0
дь_60bb31ab,0
дь_60bb31ba,0
дь_60bb31bb,0
дь_60bb32aa,0
дь_60bb32ab,1
дь_60bb32ba,8
дь_60bb32bb,0
дь_60bb33aa,0
дь_60bb33ab,0
дь_60bb33ba,0
дь_60bb33bb,0
дь_60bb34aa,0
дь_60bb34ab,0
дь_60bb34ba,0
дь_60bb34bb,0
дь_60bb35aa,0
дь_60bb35ab,0
дь_60bb35ba,0
дь_60bb35bb,0
дь_60bb36aa,0
дь_60bb36ab,0
дь_60bb36ba,0
дь_60bb36bb,0
дь_61aa29aa,3
дь_61aa29ab,4
дь_61aa29ba,0
дь_61aa29bb,0
дь_61aa30aa,0
дь_61aa30ab,0
дь_61aa30ba,0
дь_61aa30bb,3
дь_61aa31aa,1
дь_61aa31ab,0
дь_61aa31ba,0
дь_61aa31bb,0
дь_61aa32aa,0
дь_61aa32ab,1
дь_61aa32ba,3
дь_61aa32bb,0
дь_61aa33aa,0
дь_61aa33ab,0
дь_61aa33ba,0
дь_61aa33bb,0
дь_61aa34aa,0
дь_61aa34ab,0
дь_61aa34ba,0
дь_61aa34bb,0
дь_61aa35aa,0
дь_61aa35ab,0
дь_61aa35ba,0
дь_61aa35bb,0
дь_61aa36aa,0
дь_61aa36ab,0
дь_61aa36ba,0
дь_61aa36bb,0
дь_61ab29aa,0
дь_61ab29ab,0
дь_61ab29ba,0
дь_61ab29bb,0
дь_61ab30aa,0
дь_61ab30ab,0
дь_61ab30ba,0
дь_61ab30bb,0
дь_61ab31aa,0
дь_61ab31ab,0
дь_61ab31ba,0
дь_61ab31bb,0
дь_61ab32aa,0
дь_61ab32ab,0
дь_61ab32ba,0
дь_61ab32bb,0
дь_61ab33aa,0
дь_61ab33ab,0
дь_61ab33ba,0
дь_61ab33bb,0
дь_61ab34aa,0
дь_61ab34ab,0
дь_61ab34ba,0
дь_61ab34bb,0
дь_61ab35aa,0
дь_61ab35ab,0
дь_61ab35ba,0
дь_61ab35bb,0
дь_61ab36aa,0
дь_61ab36ab,0
дь_61ab36ba,0
дь_61ab36bb,0
дь_61ba28bb,0
дь_61ba29aa,2
дь_61ba29ab,0
дь_61ba29ba,0
дь_61ba29bb,0
дь_61ba30aa,0
дь_61ba30ab,0
дь_61ba30ba,0
дь_61ba30bb,0
дь_61ba31aa,0
дь_61ba31ab,0
дь_61ba31ba,0
дь_61ba31bb,0
дь_61ba32aa,0
дь_61ba32ab,0
дь_61ba32ba,0
дь_61ba32bb,0
дь_61ba33aa,0
дь_61ba33ab,0
дь_61ba33ba,0
дь_61ba33bb,1
дь_61ba34aa,0
дь_61ba34ab,0
дь_61ba34ba,0
дь_61ba34bb,0
дь_61ba35aa,0
дь_61ba35ab,0
дь_61ba35ba,0
дь_61ba35bb,0
дь_61ba36aa,0
дь_61ba36ab,9
дь_61ba36ba,0
дь_61ba36bb,0
дь_61bb28bb,0
дь_61bb29aa,0
дь_61bb29ab,0
дь_61bb29ba,0
дь_61bb29bb,0
дь_61bb30aa,0
дь_61bb30ab,0
дь_61bb30ba,0
дь_61bb30bb,0
дь_61bb31aa,0
дь_61bb31ab,0
дь_61bb31ba,0
дь_61bb31bb,0
дь_61bb32aa,0
дь_61bb32ab,0
дь_61bb32ba,0
дь_61bb32bb,0
дь_61bb33aa,0
дь_61bb33ab,0
дь_61bb33ba,0
дь_61bb33bb,0
дь_61bb34aa,0
дь_61bb34ab,0
дь_61bb34ba,0
дь_61bb34bb,0
дь_61bb35aa,0
дь_61bb35ab,0
дь_61bb35ba,0
дь_61bb35bb,0
дь_61bb36aa,0
дь_61bb36ab,11
дь_61bb36ba,9
дь_61bb36bb,0
дь_62aa28ba,0
дь_62aa28bb,0
дь_62aa29aa,0
дь_62aa29ab,0
дь_62aa29ba,0
дь_62aa29bb,0
дь_62aa30aa,0
дь_62aa30ab,0
дь_62aa30ba,0
дь_62aa30bb,0
дь_62aa31aa,0
дь_62aa31ab,0
дь_62aa31ba,0
дь_62aa31bb,0
дь_62aa32aa,0
дь_62aa32ab,0
дь_62aa32ba,0
дь_62aa32bb,0
дь_62aa33aa,0
дь_62aa33ab,0
дь_62aa33ba,2
дь_62aa33bb,1
дь_62aa34aa,0
дь_62aa34ab,5
дь_62aa34ba,0
дь_62aa34bb,0
дь_62aa35aa,0
дь_62aa35ab,0
дь_62aa35ba,0
дь_62aa35bb,0
дь_62aa36aa,0
дь_62aa36ab,6
дь_62aa36ba,9
дь_62aa36bb,10
дь_62aa37aa,1
дь_62aa37ab,0
дь_62aa37ba,0
дь_62aa37bb,0
дь_62aa38aa,0
дь_62ab28aa,0
дь_62ab28ab,2
дь_62ab28ba,0
дь_62ab28bb,0
дь_62ab29aa,0
дь_62ab29ab,0
дь_62ab29ba,0
дь_62ab29bb,0
дь_62ab30aa,0
дь_62ab30ab,0
дь_62ab30ba,1
дь_62ab30bb,0
дь_62ab31aa,0
дь_62ab31ab,0
дь_62ab31ba,0
дь_62ab31bb,0
дь_62ab32aa,0
дь_62ab32ab,0
дь_62ab32ba,0
дь_62ab32bb,0
дь_62ab33aa,0
дь_62ab33ab,0
дь_62ab33ba,0
дь_62ab33bb,0
дь_62ab34aa,0
дь_62ab34ab,4
дь_62ab34ba,0
дь_62ab34bb,0
дь_62ab35aa,0
дь_62ab35ab,0
дь_62ab35ba,0
дь_62ab35bb,1
дь_62ab36aa,0
дь_62ab36ab,0
дь_62ab36ba,0
дь_62ab36bb,5
дь_62ab37aa,12
дь_62ab37ab,0
дь_62ab37ba,0
дь_62ab37bb,0
дь_62ab38aa,0
дь_62ba27bb,0
дь_62ba28aa,0
дь_62ba28ab,1
дь_62ba28ba,0
дь_62ba28bb,0
дь_62ba29aa,0
дь_62ba29ab,0
дь_62ba29ba,0
дь_62ba29bb,0
дь_62ba30aa,0
дь_62ba30ab,0
дь_62ba30ba,0
дь_62ba30bb,0
дь_62ba31aa,2
дь_62ba31ab,0
дь_62ba31ba,0
дь_62ba31bb,0
дь_62ba32aa,0
дь_62ba32ab,0
дь_62ba32ba,0
дь_62ba32bb,0
дь_62ba33aa,0
дь_62ba33ab,0
дь_62ba33ba,0
дь_62ba33bb,0
дь_62ba34aa,0
дь_62ba34ab,0
дь_62ba34ba,1
дь_62ba34bb,0
дь_62ba35aa,0
дь_62ba35ab,3
дь_62ba35ba,6
дь_62ba35bb,1
дь_62ba36aa,0
дь_62ba36ab,0
дь_62ba36ba,0
дь_62ba36bb,0
дь_62ba37aa,0
дь_62ba37ab,0
дь_62ba37ba,1
дь_62ba37bb,0
дь_62ba38aa,0
дь_62bb27bb,0
дь_62bb28aa,9
дь_62bb28ab,2
дь_62bb28ba,0
дь_62bb28bb,4
дь_62bb29aa,3
дь_62bb29ab,0
дь_62bb29ba,0
дь_62bb29bb,0
дь_62bb30aa,0
дь_62bb30ab,0
дь_62bb30ba,0
дь_62bb30bb,0
дь_62bb31aa,0
дь_62bb31ab,0
дь_62bb31ba,0
дь_62bb31bb,0
дь_62bb32aa,0
дь_62bb32ab,0
дь_62bb32ba,0
дь_62bb32bb,0
дь_62bb33aa,0
дь_62bb33ab,0
дь_62bb33ba,0
дь_62bb33bb,0
дь_62bb34aa,1
дь_62bb34ab,0
дь_62bb34ba,0
дь_62bb34bb,0
дь_62bb35aa,0
дь_62bb35ab,5
дь_62bb35ba,1
дь_62bb35bb,0
дь_62bb36aa,0
дь_62bb36ab,0
дь_62bb36ba,0
дь_62bb36bb,1
дь_62bb37aa,0
дь_62bb37ab,1
дь_62bb37ba,0
дь_62bb37bb,0
дь_62bb38aa,0
дь_63aa28aa,1
дь_63aa28ab,0
дь_63aa28ba,1
дь_63aa28bb,1
дь_63aa29aa,0
дь_63aa29ab,0
дь_63aa29ba,0
дь_63aa29bb,0
дь_63aa30aa,0
дь_63aa30ab,0
дь_63aa30ba,0
дь_63aa30bb,0
дь_63aa31aa,0
дь_63aa31ab,0
дь_63aa31ba,12
дь_63aa31bb,0
дь_63aa32aa,0
дь_63aa32ab,0
дь_63aa32ba,0
дь_63aa32bb,0
дь_63aa33aa,0
дь_63aa33ab,0
дь_63aa33ba,0
дь_63aa33bb,0
дь_63aa34aa,9
дь_63aa34ab,0
дь_63aa34ba,0
дь_63aa34bb,1
дь_63aa35aa,0
дь_63aa35ab,0
дь_63aa35ba,0
дь_63aa35bb,0
дь_63aa36aa,0
дь_63aa36ab,0
дь_63aa36ba,0
дь_63aa36bb,0
дь_63aa37aa,0
дь_63aa37ab,15
дь_63aa37ba,0
дь_63aa37bb,0
дь_63aa38aa,0
дь_63aa38ab,0
дь_63ab27bb,0
дь_63ab28aa,1
дь_63ab28ab,4
дь_63ab28ba,0
дь_63ab28bb,0
дь_63ab29aa,0
дь_63ab29ab,0
дь_63ab29ba,0
дь_63ab29bb,0
дь_63ab30aa,0
дь_63ab30ab,0
дь_63ab30ba,0
дь_63ab30bb,0
дь_63ab31aa,0
дь_63ab31ab,0
дь_63ab31ba,0
дь_63ab31bb,0
дь_63ab32aa,0
дь_63ab32ab,0
дь_63ab32ba,0
дь_63ab32bb,0
дь_63ab33aa,0
дь_63ab33ab,0
дь_63ab33ba,0
дь_63ab33bb,3
дь_63ab34aa,3
дь_63ab34ab,0
дь_63ab34ba,21
дь_63ab34bb,1
дь_63ab35aa,0
дь_63ab35ab,0
дь_63ab35ba,0
дь_63ab35bb,0
дь_63ab36aa,0
дь_63ab36ab,0
дь_63ab36ba,0
дь_63ab36bb,0
дь_63ab37aa,0
дь_63ab37ab,5
дь_63ab37ba,0
дь_63ab37bb,0
дь_63ab38aa,0
дь_63ab38ab,0
дь_63ba27ba,0
дь_63ba27bb,0
дь_63ba28aa,0
дь_63ba28ab,0
дь_63ba28ba,0
дь_63ba28bb,0
дь_63ba29aa,0
дь_63ba29ab,0
дь_63ba29ba,0
дь_63ba29bb,0
дь_63ba30aa,0
дь_63ba30ab,0
дь_63ba30ba,0
дь_63ba30bb,0
дь_63ba31aa,0
дь_63ba31ab,0
дь_63ba31ba,2
дь_63ba31bb,0
дь_63ba32aa,0
дь_63ba32ab,0
дь_63ba32ba,0
дь_63ba32bb,0
дь_63ba33aa,0
дь_63ba33ab,0
дь_63ba33ba,0
дь_63ba33bb,0
дь_63ba34aa,0
дь_63ba34ab,3
дь_63ba34ba,3
дь_63ba34bb,0
дь_63ba35aa,0
дь_63ba35ab,0
дь_63ba35ba,0
дь_63ba35bb,0
дь_63ba36aa,0
дь_63ba36ab,0
дь_63ba36ba,0
дь_63ba36bb,0
дь_63ba37aa,5
дь_63ba37ab,2
дь_63ba37ba,0
дь_63ba37bb,0
дь_63ba38aa,0
дь_63ba38ab,0
дь_63ba38ba,0
дь_63ba38bb,0
дь_63ba39aa,0
дь_63bb27ab,0
дь_63bb27ba,0
дь_63bb27bb,1
дь_63bb28aa,0
дь_63bb28ab,0
дь_63bb28ba,0
дь_63bb28bb,0
дь_63bb29aa,0
дь_63bb29ab,0
дь_63bb29ba,0
дь_63bb29bb,0
дь_63bb30aa,11
дь_63bb30ab,7
дь_63bb30ba,0
дь_63bb30bb,0
дь_63bb31aa,0
дь_63bb31ab,0
дь_63bb31ba,3
дь_63bb31bb,0
дь_63bb32aa,0
дь_63bb32ab,0
дь_63bb32ba,0
дь_63bb32bb,0
дь_63bb33aa,0
дь_63bb33ab,0
дь_63bb33ba,0
дь_63bb33bb,0
дь_63bb34aa,0
дь_63bb34ab,0
дь_63bb34ba,4
дь_63bb34bb,0
дь_63bb35aa,0
дь_63bb35ab,0
дь_63bb35ba,0
дь_63bb35bb,0
дь_63bb36aa,0
дь_63bb36ab,0
дь_63bb36ba,1
дь_63bb36bb,0
дь_63bb37aa,0
дь_63bb37ab,0
дь_63bb37ba,1
дь_63bb37bb,0
дь_63bb38aa,0
дь_63bb38ab,0
дь_63bb38ba,0
дь_63bb38bb,0
дь_63bb39aa,0
дь_63bb39ab,0
дь_63bb39ba,0
дь_64aa27ab,0
дь_64aa27ba,0
дь_64aa27bb,0
дь_64aa28aa,0
дь_64aa28ab,0
дь_64aa28ba,0
дь_64aa28bb,0
дь_64aa29aa,0
дь_64aa29ab,6
дь_64aa29ba,0
дь_64aa29bb,0
дь_64aa30aa,7
дь_64aa30ab,2
дь_64aa30ba,0
дь_64aa30bb,0
дь_64aa31aa,0
дь_64aa31ab,0
дь_64aa31ba,4
дь_64aa31bb,0
дь_64aa32aa,0
дь_64aa32ab,0
дь_64aa32ba,0
дь_64aa32bb,0
дь_64aa33aa,0
дь_64aa33ab,0
дь_64aa33ba,0
дь_64aa33bb,0
дь_64aa34aa,0
дь_64aa34ab,3
дь_64aa34ba,1
дь_64aa34bb,0
дь_64aa35aa,0
дь_64aa35ab,0
дь_64aa35ba,0
дь_64aa35bb,0
дь_64aa36aa,0
дь_64aa36ab,1
дь_64aa36ba,0
дь_64aa36bb,0
дь_64aa37aa,0
дь_64aa37ab,0
дь_64aa37ba,1
дь_64aa37bb,0
дь_64aa38aa,0
дь_64aa38ab,0
дь_64aa38ba,0
дь_64aa38bb,1
дь_64aa39aa,0
дь_64aa39ab,0
дь_64aa39ba,0
дь_64aa39bb,0
дь_64ab27aa,0
дь_64ab27ab,4
дь_64ab27ba,2
дь_64ab27bb,0
дь_64ab28aa,0
дь_64ab28ab,0
дь_64ab28ba,0
дь_64ab28bb,0
дь_64ab29aa,0
дь_64ab29ab,24
дь_64ab29ba,1
дь_64ab29bb,0
дь_64ab30aa,10
дь_64ab30ab,11
дь_64ab30ba,0
дь_64ab30bb,0
дь_64ab31aa,0
дь_64ab31ab,3
дь_64ab31ba,0
дь_64ab31bb,0
дь_64ab32aa,0
дь_64ab32ab,0
дь_64ab32ba,0
дь_64ab32bb,0
дь_64ab33aa,0
дь_64ab33ab,0
дь_64ab33ba,0
дь_64ab33bb,0
дь_64ab34aa,0
дь_64ab34ab,6
дь_64ab34ba,29
дь_64ab34bb,0
дь_64ab35aa,0
дь_64ab35ab,0
дь_64ab35ba,0
дь_64ab35bb,2
дь_64ab36aa,5
дь_64ab36ab,0
